Ratio H/L normalized REP_A,Ratio H/L normalized REP_B,Ratio H/L normalized REP_C,Only identified by site,Reverse,Contaminant,Peptides,Sequence coverage [%],Mol. weight [kDa],PEP,Ratio H/L count REP_A,Ratio H/L count REP_B,Ratio H/L count REP_C,Intensity L REP_A,Intensity H REP_A,Intensity L REP_B,Intensity H REP_B,Intensity L REP_C,Intensity H REP_C,Mean,Median,Standard deviation,Coefficient of variation,Median absolute deviation,Minimum,Maximum,Range,Valid values,Protein IDs,Majority protein IDs,Protein names,Gene names,Proteins,Cysteinylation site IDs,Glutathionylation site IDs,Nitro site IDs,Oxidation (M) site IDs,Phospho (STY) site IDs,s-nitrosylation site IDs,GOBP Name,GOBP Name2,GOBP Name3,GOBP Name4,GOBP Name5,GOBP Name6,GOBP Name7,GOBP Name8,GOBP Name9,GOBP Name10,GOBP Name11,GOBP Name12,GOBP Name13,GOBP Name14,GOBP Name15,GOBP Name16,GOBP Name17,GOBP Name18,GOBP Name19,GOBP Name20,GOBP Name21,GOBP Name22,GOBP Name23,GOBP Name24,GOBP Name25,GOBP Name26,GOBP Name27,GOBP Name28,GOBP Name29,GOBP Name30,GOBP Name31,GOBP Name32,GOBP Name33,GOBP Name34,GOBP Name35,GOBP Name36,GOBP Name37,GOBP Name38,GOBP Name39,GOBP Name40,GOBP Name41,GOBP Name42,GOBP Name43,GOBP Name44,GOBP Name45,GOBP Name46,GOBP Name47,GOBP Name48,GOBP Name49,GOBP Name50,GOBP Name51,GOBP Name52,GOBP Name53,GOBP Name54,GOBP Name55,GOBP Name56,GOBP Name57,GOBP Name58,GOBP Name59,GOBP Name60,GOBP Name61,GOBP Name62,GOBP Name63,GOBP Name64,GOBP Name65,GOBP Name66,GOBP Name67,GOBP Name68,GOBP Name69,GOBP Name70,GOBP Name71,GOBP Name72,GOBP Name73,GOBP Name74,GOBP Name75,GOBP Name76,GOBP Name77,GOBP Name78,GOBP Name79,GOBP Name80,GOBP Name81,GOBP Name82
0.567448,0.952408,1.16047,,,,6,18.3,39.146,1.04E-49,5,5,5,1823600,2746400,1066300,2682600,1564400,4472000,0.893442,0.952408,0.300876,0.33676,0.20806,0.567448,1.16047,0.59302,3,B3KSH1;O00303;B4DEW9;H0YDT6,B3KSH1;O00303;B4DEW9;H0YDT6,Eukaryotic translation initiation factor 3 subunit F,EIF3F,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.786931,0.868687,1.00511,,,,15,40.5,33.67,1.14E-150,25,32,19,21009000,41561000,19189000,41620000,23508000,44434000,0.88691,0.868687,0.110226,0.124281,0.0817559,0.786931,1.00511,0.218182,3,P07910;G3V2Q1;P07910-2;G3V4C1;B4DY08;G3V4W0;P07910-4;G3V576;P07910-3;G3V2D6;G3V5V7;G3V575;G3V555;O60812;B4DSU6;G3V251;G3V3K6;G3V5X6;G3V4M8;G3V2H6;G3V129;Q86SE5;B3KT61,P07910;G3V2Q1;P07910-2;G3V4C1;B4DY08;G3V4W0;P07910-4;G3V576;P07910-3;G3V2D6;G3V5V7;G3V575;G3V555,Heterogeneous nuclear ribonucleoproteins C1/C2,HNRNPC,23,,,,49,,,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,macromolecule metabolic process,metabolic process,mRNA metabolic process,mRNA processing,nitrogen compound metabolic process,"nuclear mRNA splicing, via spliceosome",nucleic acid metabolic process,nucleobase-containing compound metabolic process,primary metabolic process,RNA metabolic process,RNA processing,RNA splicing,"RNA splicing, via transesterification reactions","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.09741,0.664938,0.896078,,,,10,35.5,34.93,3.61E-89,13,21,13,11081000,26571000,20722000,28143000,10700000,21859000,0.886141,0.896078,0.216406,0.244212,0.201331,0.664938,1.09741,0.432471,3,Q96AG4;I3L223,Q96AG4,Leucine-rich repeat-containing protein 59,LRRC59,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.03914,0.781486,0.837701,,,,18,16,152.47,1.29E-174,31,30,27,6898800,16875000,8721400,20536000,5888500,12254000,0.886108,0.837701,0.135476,0.152889,0.0562155,0.781486,1.03914,0.257653,3,Q9P2E9;Q9P2E9-2;Q9P2E9-3;F8W7S5;A2A2S5;Q8N4C6-7;Q8N4C6-10;Q8N4C6-5;Q8N4C6;Q8N4C6-2;Q8N4C6-9;C9J066;Q8N4C6-4;E9PN67;H0YEL6;H9KV85;H0YDJ4;Q8N4C6-11;F8W6D3;Q8N4C6-6,Q9P2E9;Q9P2E9-2;Q9P2E9-3;F8W7S5,Ribosome-binding protein 1,RRBP1,20,,,,,,,biological regulation,biosynthetic process,cellular biosynthetic process,cellular localization,cellular macromolecule biosynthetic process,cellular macromolecule metabolic process,cellular metabolic process,cellular process,cellular protein metabolic process,cellular response to stimulus,centrosome localization,establishment of localization,establishment of protein localization,localization,macromolecule biosynthetic process,macromolecule metabolic process,metabolic process,organelle localization,primary metabolic process,protein metabolic process,protein transport,regulation of biological process,regulation of cellular process,response to stimulus,signal transduction,translation,transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.671656,0.959473,1.01749,,,,20,51.7,44.205,0,31,35,37,19153000,36068000,28785000,64055000,18393000,43188000,0.882874,0.959473,0.185207,0.209777,0.0580209,0.671656,1.01749,0.345839,3,J3KNW4;Q14192;Q5TM15;F8WDA8;C9J3S8,J3KNW4;Q14192,Four and a half LIM domains protein 2,FHL2,5,,,,209,,,androgen receptor signaling pathway,biological regulation,biosynthetic process,cellular biosynthetic process,cellular lipid metabolic process,cellular macromolecule biosynthetic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular response to stimulus,intracellular receptor mediated signaling pathway,lipid metabolic process,macromolecule biosynthetic process,macromolecule metabolic process,metabolic process,negative regulation of apoptosis,negative regulation of biological process,negative regulation of biosynthetic process,negative regulation of cell death,negative regulation of cellular biosynthetic process,negative regulation of cellular macromolecule biosynthetic process,negative regulation of cellular metabolic process,negative regulation of cellular process,negative regulation of gene expression,negative regulation of macromolecule biosynthetic process,negative regulation of macromolecule metabolic process,negative regulation of metabolic process,negative regulation of nitrogen compound metabolic process,negative regulation of nucleobase-containing compound metabolic process,negative regulation of programmed cell death,negative regulation of RNA metabolic process,negative regulation of transcription from RNA polymerase II promoter,"negative regulation of transcription, DNA-dependent",nitrogen compound metabolic process,nucleic acid metabolic process,nucleobase-containing compound metabolic process,positive regulation of biological process,positive regulation of biosynthetic process,positive regulation of cellular biosynthetic process,positive regulation of cellular metabolic process,positive regulation of cellular process,positive regulation of gene expression,positive regulation of macromolecule biosynthetic process,positive regulation of macromolecule metabolic process,positive regulation of metabolic process,positive regulation of nitrogen compound metabolic process,positive regulation of nucleobase-containing compound metabolic process,positive regulation of RNA metabolic process,"positive regulation of transcription, DNA-dependent",primary metabolic process,regulation of apoptosis,regulation of biological process,regulation of biosynthetic process,regulation of cel,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.688404,0.932288,1.01621,,,,21,41.2,61.054,7.37E-209,37,22,26,13938000,31633000,15630000,43152000,17656000,41669000,0.878968,0.932288,0.170284,0.193732,0.083923,0.688404,1.01621,0.327807,3,P10809;E7ESH4;E7EXB4;B7Z712;C9JL25;C9JCQ4;C9JL19;C9J0S9,P10809,"60 kDa heat shock protein, mitochondrial",HSPD1,8,,,,439;440,,,activation of caspase activity,activation of immune response,activation of innate immune response,adaptive immune response,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,B cell activation,B cell activation involved in immune response,B cell cytokine production,B cell mediated immunity,B cell proliferation,biological regulation,cell activation,cell activation involved in immune response,cell proliferation,cellular component assembly,cellular component assembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecular complex assembly,cellular macromolecular complex subunit organization,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular protein complex assembly,cellular protein metabolic process,cellular response to stimulus,chaperone-mediated protein complex assembly,cytokine production,cytokine production involved in immune response,'de novo' protein folding,DNA metabolic process,DNA recombination,immune effector process,immune response,immune response-activating signal transduction,immune response-regulating signaling pathway,immune system process,innate immune response-activating signal transduction,interspecies interaction between organisms,isotype switching,isotype switching to IgG isotypes,leukocyte activation,leukocyte activation involved in immune response,leukocyte mediated immunity,leukocyte proliferation,lymphocyte activation,lymphocyte activation involved in immune response,lymphocyte mediated immunity,lymphocyte proliferation,macromolecular complex assembly,macromolecular complex subunit organization,macromolecule metabolic process,metabolic process,mononuclear cell proliferation,multicellular organismal process,multi-organism process,MyD88-dependent toll-like receptor signaling pathway,negative regulation of apoptosis,negative regulation of biological process,negative regulation of cell death,negative regulation of cellular process,negative regulation of programmed cell death,nitrogen compound metabolic process,nucleic,,,,,,,,,,,,,,,
0.731705,0.944784,0.936063,,,,6,25.9,26.21,5.08E-21,5,6,6,1413200,2871300,1968900,5131500,1541500,3417500,0.87085,0.936063,0.120583,0.138465,0.00872046,0.731705,0.944784,0.213079,3,Q9HB71;Q5R370;Q9HB71-2;B2ZWH1,Q9HB71;Q5R370,Calcyclin-binding protein,CACYBP,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.978415,0.833983,0.792272,,,,4,14.8,38.242,2.69E-26,4,5,4,1269000,2561500,1112900,2427500,1075400,2075800,0.868224,0.833983,0.0976812,0.112507,0.0417108,0.792272,0.978415,0.186143,3,Q9Y266,Q9Y266,Nuclear migration protein nudC,NUDC,1,,,,,,,cell cycle phase,cell cycle process,cell proliferation,cellular process,cytokinesis,developmental process,mitotic prometaphase,multicellular organismal development,multicellular organismal process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.10862,0.654619,0.817623,,,,5,9.5,52.949,1.61E-17,11,6,7,3483900,7760000,5028600,9393400,2364400,4987600,0.860289,0.817623,0.22999,0.267341,0.163004,0.654619,1.10862,0.454006,3,B4DR61;P61619;P61619-3;Q9H9S3;F8W773;Q9H9S3-2;Q8TC24;F8W776;H7C1S8;H7C287;C9JJV4;A6NIF9;F2Z2C7;A6NK38;H7C069;C9JXC6;H7C1Q9,B4DR61;P61619;P61619-3,Protein transport protein Sec61 subunit alpha isoform 1,SEC61A1,17,,,,45,,,antigen processing and presentation,antigen processing and presentation of exogenous antigen,antigen processing and presentation of exogenous peptide antigen,antigen processing and presentation of exogenous peptide antigen via MHC class I,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",antigen processing and presentation of peptide antigen,antigen processing and presentation of peptide antigen via MHC class I,establishment of localization,establishment of localization in cell,establishment of protein localization,establishment of protein localization in endoplasmic reticulum,establishment of protein localization to organelle,immune system process,intracellular protein transport,intracellular transport,protein targeting,protein targeting to ER,protein transport,transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.445197,1.07765,1.03274,,,,6,35.4,14.135,4.70E-204,2,2,3,4804300,7790500,1000700,3074000,2395200,5228500,0.851862,1.03274,0.352898,0.414266,0.0449175,0.445197,1.07765,0.632456,3,P04908;Q7L7L0;Q93077;REV__Q8NB25;REV__Q8NB25-3;REV__Q8NB25-2;REV__Q8NB25-4;REV__H7BY63;REV__E7EQ67;REV__H0Y672,P04908;Q7L7L0;Q93077,Histone H2A type 1-B/E;Histone H2A type 3;Histone H2A type 1-C,HIST1H2AB;HIST3H2A;HIST1H2AC,10,,,,,,,cellular component assembly,cellular component assembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecular complex assembly,cellular macromolecular complex subunit organization,cellular process,chromatin organization,chromosome organization,macromolecular complex assembly,macromolecular complex subunit organization,nucleosome assembly,nucleosome organization,organelle organization,protein-DNA complex assembly,protein-DNA complex subunit organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.870661,0.785174,0.89817,,,,3,10.4,52.314,6.13E-22,2,3,3,1067000,2271200,1545000,3488400,1285900,3250500,0.851335,0.870661,0.0589248,0.0692146,0.027509,0.785174,0.89817,0.112996,3,Q16576-2;Q16576;E9PC52;Q09028;Q09028-2;Q09028-3;Q09028-4;Q5JP01;H0YF10;Q5JNZ6;C9J959,Q16576-2;Q16576;E9PC52;Q09028;Q09028-2;Q09028-3;Q09028-4;Q5JP01,Histone-binding protein RBBP7;Histone-binding protein RBBP4,RBBP7;RBBP4,11,,,,,,,ATP-dependent chromatin remodeling,biological regulation,biosynthetic process,cell cycle,cell proliferation,cellular biosynthetic process,cellular component assembly,cellular component assembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular heat acclimation,cellular macromolecular complex assembly,cellular macromolecular complex subunit organization,cellular macromolecule biosynthetic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular response to heat,cellular response to stimulus,cellular response to stress,CenH3-containing nucleosome assembly at centromere,chromatin assembly or disassembly,chromatin modification,chromatin organization,chromatin remodeling,chromatin remodeling at centromere,chromosome organization,developmental process,DNA metabolic process,DNA replication,DNA replication-independent nucleosome assembly,DNA replication-independent nucleosome organization,heat acclimation,histone exchange,macromolecular complex assembly,macromolecular complex subunit organization,macromolecule biosynthetic process,macromolecule metabolic process,metabolic process,mitotic cell cycle,multicellular organismal development,multicellular organismal process,negative regulation of biological process,negative regulation of cell growth,negative regulation of cell proliferation,negative regulation of cellular process,negative regulation of growth,nitrogen compound metabolic process,nucleic acid metabolic process,nucleobase-containing compound metabolic process,nucleosome assembly,nucleosome organization,organelle organization,primary metabolic process,protein-DNA complex assembly,protein-DNA complex subunit organization,regulation of biological process,regulation of biosynthetic process,regulation of cell growth,regulation of cell proliferation,regulation of cellular biosynthetic process,regulation of cellular component organization,regulation of cellular macromolecule biosynthetic process,regulation of cellular metabolic process,regulation of cellular process,regulation of gene expression,regulation of growth,r,,,,,,,,,,,
0.774249,0.805375,0.97181,,,,11,31.9,28.024,1.90E-82,23,25,24,11213000,23969000,18001000,37512000,14623000,29677000,0.850478,0.805375,0.106223,0.124898,0.0311256,0.774249,0.97181,0.197561,3,P62917;E9PKZ0;E9PIZ3;G3V1A1;E9PKU4;E9PP36,P62917;E9PKZ0;E9PIZ3;G3V1A1;E9PKU4;E9PP36,60S ribosomal protein L8,RPL8,6,,,,,,,biosynthetic process,catabolic process,cellular biosynthetic process,cellular catabolic process,cellular component disassembly,cellular component disassembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecular complex disassembly,cellular macromolecular complex subunit organization,cellular macromolecule biosynthetic process,cellular macromolecule catabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular process involved in reproduction,cellular protein complex disassembly,cellular protein metabolic process,cotranslational protein targeting to membrane,establishment of localization,establishment of localization in cell,establishment of protein localization,establishment of protein localization in endoplasmic reticulum,establishment of protein localization to organelle,intracellular protein transport,intracellular transport,macromolecular complex disassembly,macromolecular complex subunit organization,macromolecule biosynthetic process,macromolecule catabolic process,macromolecule metabolic process,metabolic process,mRNA catabolic process,mRNA metabolic process,nitrogen compound metabolic process,nuclear-transcribed mRNA catabolic process,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",nucleic acid metabolic process,nucleobase-containing compound metabolic process,primary metabolic process,protein complex disassembly,protein complex subunit organization,protein metabolic process,protein targeting,protein targeting to ER,protein targeting to membrane,protein transport,reproductive process,RNA biosynthetic process,RNA catabolic process,RNA metabolic process,SRP-dependent cotranslational protein targeting to membrane,translation,translational elongation,translational initiation,translational termination,transport,viral transcription,,,,,,,,,,,,,,,,,,,,,
0.988994,0.790105,0.770871,,,,4,34,11.345,5.03E-27,7,5,6,8398100,16354000,6370200,13820000,7027700,16759000,0.84999,0.790105,0.120764,0.142077,0.0192334,0.770871,0.988994,0.218122,3,H0YMV8;Q71UM5;C9JLI6;C9J1C5,H0YMV8;Q71UM5;C9JLI6,40S ribosomal protein S27;40S ribosomal protein S27-like,RPS27L,4,,,,202,,,biological regulation,biosynthetic process,cell cycle checkpoint,cellular biosynthetic process,cellular macromolecule biosynthetic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular protein metabolic process,cellular response to stimulus,cellular response to stress,DNA damage checkpoint,"DNA damage response, signal transduction by p53 class mediator","DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis","DNA damage response, signal transduction resulting in induction of apoptosis",DNA integrity checkpoint,DNA metabolic process,DNA repair,G1/S transition checkpoint,induction of apoptosis,induction of apoptosis by intracellular signals,induction of programmed cell death,intracellular signal transduction,macromolecule biosynthetic process,macromolecule metabolic process,metabolic process,mitotic cell cycle checkpoint,mitotic cell cycle G1/S transition checkpoint,mitotic cell cycle G1/S transition DNA damage checkpoint,nitrogen compound metabolic process,nucleic acid metabolic process,nucleobase-containing compound metabolic process,positive regulation of anti-apoptosis,positive regulation of apoptosis,positive regulation of biological process,positive regulation of cell death,positive regulation of cellular process,positive regulation of programmed cell death,primary metabolic process,protein metabolic process,regulation of anti-apoptosis,regulation of apoptosis,regulation of biological process,regulation of cell cycle,regulation of cell cycle arrest,regulation of cell cycle process,regulation of cell death,regulation of cellular process,regulation of G1/S transition of mitotic cell cycle,regulation of interphase of mitotic cell cycle,regulation of mitotic cell cycle,regulation of programmed cell death,response to DNA damage stimulus,response to stimulus,response to stress,signal transduction,signal transduction by p53 class mediator,signal transduction by p53 class mediator resulting in induction of apoptosis,signal transduction in response to DNA damage,translation,,,,,,,,,,,,,,,,,,,,,
0.969896,0.789437,0.766213,,,,31,48.5,72.932,0,34,37,34,26361000,64462000,39149000,81172000,24040000,49088000,0.841849,0.789437,0.111499,0.132445,0.0232236,0.766213,0.969896,0.203683,3,P13667,P13667,Protein disulfide-isomerase A4,PDIA4,1,,,,476;477,,,biological regulation,cell redox homeostasis,cellular homeostasis,cellular process,establishment of localization,establishment of localization in cell,establishment of protein localization,glycerol ether metabolic process,homeostatic process,metabolic process,organic ether metabolic process,protein secretion,protein transport,regulation of biological process,regulation of biological quality,regulation of cellular process,secretion,secretion by cell,small molecule metabolic process,transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.617581,0.943509,0.961179,,,,17,27.5,82.704,7.93E-80,24,17,18,7483700,15504000,7805300,18202000,6113800,13800000,0.840756,0.943509,0.193477,0.230123,0.01767,0.617581,0.961179,0.343598,3,P13010;C9JZ81;H7C0H9,P13010,X-ray repair cross-complementing protein 5,XRCC5,3,,,,,,,anatomical structure homeostasis,biological regulation,biosynthetic process,cellular biosynthetic process,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecule biosynthetic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular process involved in reproduction,cellular response to stimulus,cellular response to stress,chromosome organization,DNA integration,DNA metabolic process,DNA recombination,DNA repair,double-strand break repair,double-strand break repair via nonhomologous end joining,homeostatic process,initiation of viral infection,macromolecule biosynthetic process,macromolecule metabolic process,metabolic process,negative regulation of biological process,negative regulation of biosynthetic process,negative regulation of cellular biosynthetic process,negative regulation of cellular macromolecule biosynthetic process,negative regulation of cellular metabolic process,negative regulation of cellular process,negative regulation of gene expression,negative regulation of macromolecule biosynthetic process,negative regulation of macromolecule metabolic process,negative regulation of metabolic process,negative regulation of nitrogen compound metabolic process,negative regulation of nucleobase-containing compound metabolic process,negative regulation of RNA metabolic process,"negative regulation of transcription, DNA-dependent",nitrogen compound metabolic process,non-recombinational repair,nucleic acid metabolic process,nucleobase-containing compound metabolic process,organelle organization,primary metabolic process,provirus integration,regulation of biological process,regulation of biological quality,regulation of biosynthetic process,regulation of cellular biosynthetic process,regulation of cellular macromolecule biosynthetic process,regulation of cellular metabolic process,regulation of cellular process,regulation of gene expression,regulation of macromolecule biosynthetic process,regulation of macromolecule metabolic process,regulation of metabolic process,regulation of nitrogen compound metabolic process,regulation,,,,,,,,,,,,,,,,,,,,
0.728748,0.910809,0.877195,,,,5,14.3,45.199,5.99E-26,4,5,5,1902400,3506500,4647900,5106100,5064000,5057300,0.838917,0.877195,0.0968787,0.115481,0.0336149,0.728748,0.910809,0.182062,3,P24752;G3XAB4;E9PRQ6;H0YEL7,P24752;G3XAB4;E9PRQ6,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,4,,,,,,,amine catabolic process,amine metabolic process,biosynthetic process,branched chain family amino acid catabolic process,branched chain family amino acid metabolic process,carboxylic acid catabolic process,carboxylic acid metabolic process,catabolic process,cellular amine metabolic process,cellular amino acid catabolic process,cellular amino acid metabolic process,cellular biosynthetic process,cellular catabolic process,cellular ketone body metabolic process,cellular ketone metabolic process,cellular lipid metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,ketone body biosynthetic process,ketone body catabolic process,lipid metabolic process,metabolic process,nitrogen compound metabolic process,organic acid catabolic process,organic acid metabolic process,oxoacid metabolic process,primary metabolic process,small molecule biosynthetic process,small molecule catabolic process,small molecule metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05367,0.715981,0.735869,,,,21,24.8,114.76,7.33E-215,44,42,41,9759800,27093000,14736000,31528000,9933500,24014000,0.835172,0.735869,0.189483,0.226879,0.0198875,0.715981,1.05367,0.337686,3,P16615;P16615-3;P16615-2;P16615-5;P16615-4;H7C5W9;O14983;O14983-2;B3KY17;F8VSH0;J3QSY6,P16615;P16615-3;P16615-2;P16615-5;P16615-4;H7C5W9,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,11,,,,512;513,,,anatomical structure development,apoptosis,apoptosis in response to endoplasmic reticulum stress,apoptotic mitochondrial changes,ATP biosynthetic process,ATP metabolic process,biological adhesion,biological regulation,biosynthetic process,blood coagulation,calcium ion homeostasis,calcium ion import,calcium ion transmembrane transport,calcium ion transport,cation homeostasis,cation transport,cell adhesion,cell death,cellular biosynthetic process,cellular calcium ion homeostasis,cellular cation homeostasis,cellular chemical homeostasis,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular divalent inorganic cation homeostasis,cellular homeostasis,cellular ion homeostasis,cellular metabolic process,cellular metal ion homeostasis,cellular nitrogen compound biosynthetic process,cellular nitrogen compound metabolic process,cellular process,cellular response to stimulus,cellular response to stress,chemical homeostasis,coagulation,death,developmental process,divalent inorganic cation homeostasis,divalent inorganic cation transport,divalent metal ion transport,elevation of endoplasmic reticulum calcium ion concentration,elevation of mitochondrial calcium ion concentration,endoplasmic reticulum calcium ion homeostasis,epidermis development,establishment of localization,establishment of localization in cell,hemostasis,heterocycle biosynthetic process,heterocycle metabolic process,homeostatic process,intracellular transport,ion homeostasis,ion transmembrane transport,ion transport,maintenance of location,maintenance of location in cell,maintenance of mitochondrion location,maintenance of organelle location,metabolic process,metal ion homeostasis,metal ion transport,mitochondrial calcium ion homeostasis,mitochondrion organization,multicellular organismal process,muscle system process,negative regulation of biological process,negative regulation of multicellular organismal process,negative regulation of muscle contraction,negative regulation of striated muscle contraction,nitrogen compound metabolic process,nucleobase-containing compound biosynthetic process,nucleobase-containing compound metabolic process,nucleobase-containing small,,,,,,
0.840524,0.639325,0.998195,,,,8,36.9,17.779,7.09E-52,17,18,12,5779400,11238000,5708100,11941000,5059400,10068000,0.826015,0.840524,0.179875,0.217762,0.157672,0.639325,0.998195,0.358871,3,P83731;C9JNW5;C9JXB8,P83731;C9JNW5;C9JXB8,60S ribosomal protein L24,RPL24,3,,,,65,,,biosynthetic process,catabolic process,cellular biosynthetic process,cellular catabolic process,cellular component disassembly,cellular component disassembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecular complex disassembly,cellular macromolecular complex subunit organization,cellular macromolecule biosynthetic process,cellular macromolecule catabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular process involved in reproduction,cellular protein complex disassembly,cellular protein metabolic process,cotranslational protein targeting to membrane,establishment of localization,establishment of localization in cell,establishment of protein localization,establishment of protein localization in endoplasmic reticulum,establishment of protein localization to organelle,intracellular protein transport,intracellular transport,macromolecular complex disassembly,macromolecular complex subunit organization,macromolecule biosynthetic process,macromolecule catabolic process,macromolecule metabolic process,metabolic process,mRNA catabolic process,mRNA metabolic process,nitrogen compound metabolic process,nuclear-transcribed mRNA catabolic process,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",nucleic acid metabolic process,nucleobase-containing compound metabolic process,primary metabolic process,protein complex disassembly,protein complex subunit organization,protein metabolic process,protein targeting,protein targeting to ER,protein targeting to membrane,protein transport,reproductive process,RNA biosynthetic process,RNA catabolic process,RNA metabolic process,SRP-dependent cotranslational protein targeting to membrane,translation,translational elongation,translational initiation,translational termination,transport,viral transcription,,,,,,,,,,,,,,,,,,,,,
0.762902,0.846232,0.819259,,,,8,45.7,14.865,1.14E-55,10,10,10,14673000,28015000,15680000,33890000,13652000,31807000,0.809464,0.819259,0.0425202,0.0525288,0.026973,0.762902,0.846232,0.0833309,3,P62829;J3KT29;C9JD32;B9ZVP7;J3KTJ3;J3QQT9,P62829;J3KT29;C9JD32;B9ZVP7;J3KTJ3,60S ribosomal protein L23,RPL23,6,,,,831,,,biosynthetic process,catabolic process,cellular biosynthetic process,cellular catabolic process,cellular component disassembly,cellular component disassembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecular complex disassembly,cellular macromolecular complex subunit organization,cellular macromolecule biosynthetic process,cellular macromolecule catabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular process involved in reproduction,cellular protein complex disassembly,cellular protein metabolic process,cotranslational protein targeting to membrane,establishment of localization,establishment of localization in cell,establishment of protein localization,establishment of protein localization in endoplasmic reticulum,establishment of protein localization to organelle,intracellular protein transport,intracellular transport,macromolecular complex disassembly,macromolecular complex subunit organization,macromolecule biosynthetic process,macromolecule catabolic process,macromolecule metabolic process,metabolic process,mRNA catabolic process,mRNA metabolic process,nitrogen compound metabolic process,nuclear import,nuclear transport,nuclear-transcribed mRNA catabolic process,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",nucleic acid metabolic process,nucleobase-containing compound metabolic process,nucleocytoplasmic transport,primary metabolic process,protein complex disassembly,protein complex subunit organization,protein import,protein import into nucleus,protein metabolic process,protein targeting,protein targeting to ER,protein targeting to membrane,protein transport,reproductive process,ribosomal protein import into nucleus,RNA biosynthetic process,RNA catabolic process,RNA metabolic process,SRP-dependent cotranslational protein targeting to membrane,translation,translational elongation,translational initiation,translational termination,transport,viral transcription,,,,,,,,,,,,,,,
