Ratio H/L normalized REP_A,Ratio H/L normalized REP_B,Ratio H/L normalized REP_C,Only identified by site,Reverse,Contaminant,Peptides,Sequence coverage [%],Mol. weight [kDa],PEP,Ratio H/L count REP_A,Ratio H/L count REP_B,Ratio H/L count REP_C,Intensity L REP_A,Intensity H REP_A,Intensity L REP_B,Intensity H REP_B,Intensity L REP_C,Intensity H REP_C,Mean,Median,Standard deviation,Coefficient of variation,Median absolute deviation,Minimum,Maximum,Range,Valid values,Protein IDs,Majority protein IDs,Protein names,Gene names,Proteins,Cysteinylation site IDs,Glutathionylation site IDs,Nitro site IDs,Oxidation (M) site IDs,Phospho (STY) site IDs,s-nitrosylation site IDs,GOCC Name2,GOCC Name3,GOCC Name4,GOCC Name5,GOCC Name6,GOCC Name7,GOCC Name8,GOCC Name9,GOCC Name10,GOCC Name11,GOCC Name12,GOCC Name13,GOCC Name14,GOCC Name15,GOCC Name16,GOCC Name17,GOCC Name18,GOCC Name19,GOCC Name20,GOCC Name21,GOCC Name22,GOCC Name23,GOCC Name24,GOCC Name25,GOCC Name26,GOCC Name27,GOCC Name28,GOCC Name29,GOCC Name30,GOCC Name31,GOCC Name32,GOCC Name33,GOCC Name34,GOCC Name35,GOCC Name36,GOCC Name37,GOCC Name38,GOCC Name39,GOCC Name40,GOCC Name41,GOCC Name42,GOCC Name43,GOCC Name44,GOCC Name45,GOCC Name46,GOCC Name47,GOCC Name48,GOCC Name49,GOCC Name50,GOCC Name51,GOCC Name52,GOCC Name53
-0.803494,-0.336136,-0.285706,,,,6,13.3,58.099,2.33E-15,8,7,9,7164500,3137000,3218700,3344100,2010400,2128800,-0.475112,-0.336136,0.285502,-0.600916,0.0504301,-0.803494,-0.285706,0.517787,3,P42785-2;P42785;B7Z7Q6;E9PIG4;E9PKN6;E9PQN3;E9PL85;E9PQB5;E9PNJ1;E9PNF7;E9PLY4;E9PL49;E9PR42,P42785-2;P42785;B7Z7Q6;E9PIG4;E9PKN6;E9PQN3;E9PL85;E9PQB5;E9PNJ1;E9PNF7,Lysosomal Pro-X carboxypeptidase,PRCP,13,,,,,,,cell part,cytoplasmic part,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,membrane,membrane-bounded organelle,organelle,plasma membrane,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.13673,-0.925193,-0.887367,,,,7,13,65.709,6.02E-40,17,12,14,12460000,6863100,14642000,7988500,13454000,8511200,-0.983096,-0.925193,0.134387,-0.136697,0.0378265,-1.13673,-0.887367,0.249361,3,F6S8M0;P15586;B4DYH8;H7C3P4;F5H260;H0YFA9;F5H4C6,F6S8M0;P15586;B4DYH8;H7C3P4;F5H260;H0YFA9;F5H4C6,N-acetylglucosamine-6-sulfatase,GNS,7,,,,,,,cell part,cytoplasmic part,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,membrane-bounded organelle,organelle,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.05502,NaN,-0.921308,,,,3,3.7,113.74,1.15E-06,2,1,2,835360,412050,355100,133840,942080,605600,-0.988165,-0.988165,0.0945496,-0.095682,0.0668567,-1.05502,-0.921308,0.133713,2,O00754;G5E928,O00754;G5E928,Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide,MAN2B1,2,,,,,,,cell part,cytoplasmic part,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,membrane-bounded organelle,organelle,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.40129,-0.976617,-0.901607,,,,3,6.4,56.695,2.53E-22,3,4,6,2657200,1289300,3480800,2262600,4582000,3077100,-1.09317,-0.976617,0.269462,-0.246496,0.0750095,-1.40129,-0.901607,0.499684,3,P51688;F5H6A3;I3NI22;I3L2L4;I3L4B7;I3L2I6,P51688;F5H6A3,N-sulphoglucosamine sulphohydrolase,SGSH,6,,,,,,,cell part,cytoplasmic part,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,membrane-bounded organelle,organelle,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.5091,-0.991542,-1.10634,,,,3,7.7,82.265,1.39E-06,3,3,3,650810,300650,1444300,896290,1693300,1118500,-1.20233,-1.10634,0.271803,-0.226064,0.114801,-1.5091,-0.991542,0.517559,3,P54802,P54802,Alpha-N-acetylglucosaminidase;Alpha-N-acetylglucosaminidase 82 kDa form;Alpha-N-acetylglucosaminidase 77 kDa form,NAGLU,1,,,,,,,cell part,cytoplasmic part,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,membrane-bounded organelle,organelle,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.38926,-1.11572,NaN,,,,4,5.7,72.669,5.76E-14,2,2,1,1060700,249450,1010100,526670,446000,144090,-1.75249,-1.75249,0.900529,-0.513856,0.63677,-2.38926,-1.11572,1.27354,2,P35475;D6REB5;H0Y9B3;B3KWK6;D6R9D5;H0Y9R9;D6RBD5,P35475;D6REB5;H0Y9B3;B3KWK6;D6R9D5,Alpha-L-iduronidase,IDUA,7,,,,,,,cell part,cytoplasmic part,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,lysosome,lytic vacuole,membrane-bounded organelle,organelle,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.430285,0.404685,0.465713,,,,5,47.1,12.259,1.08E-54,3,4,4,2362600,3390700,3832300,6149200,2876500,4598900,0.433561,0.430285,0.0306457,0.0706837,0.0256001,0.404685,0.465713,0.0610282,3,P84090;G3V279,P84090;G3V279,Enhancer of rudimentary homolog,ERH,2,,,,,148;320,,cell part,midbody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.59452,2.08471,2.1306,,,,6,37,24.758,4.47E-109,7,10,10,1003300,4675600,2466500,10794000,1892000,8235000,2.26995,2.1306,0.282029,0.124245,0.0458908,2.08471,2.59452,0.509814,3,P20337,P20337,Ras-related protein Rab-3B,RAB3B,1,,,,543;544,,,cell part,membrane,plasma membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.734482,0.721854,NaN,,,,5,21.9,25.966,1.90E-16,2,2,1,313210,507590,624680,1087600,284710,534280,0.728168,0.728168,0.00892948,0.0122629,0.0063141,0.721854,0.734482,0.0126282,2,B4E040;Q6ZS74;P11234;C9JQB3;C9J6B1;C9JYR1;F8WEQ6,B4E040;Q6ZS74;P11234;C9JQB3;C9J6B1,Ras-related protein Ral-B,RALB,7,,,,,,,cell part,membrane,midbody,plasma membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.428142,0.857822,0.823749,,,,2,7.8,36.249,1.67E-06,2,2,3,820730,1222700,690740,1510700,757960,1376500,0.703238,0.823749,0.238848,0.33964,0.0340724,0.428142,0.857822,0.429679,3,P53597,P53597,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",SUCLG1,1,,,,763,,,cell part,membrane,plasma membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.00213675,0.505078,0.119954,,,,2,6.3,44.868,2.22E-06,3,2,2,797930,974760,782260,1114400,565610,826090,0.207632,0.119954,0.26473,1.275,0.12209,-0.00213675,0.505078,0.507215,3,P31689;B7Z5C0,P31689;B7Z5C0,DnaJ homolog subfamily A member 1,DNAJA1,2,,,,,,,cell part,membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25689,0.204892,0.127105,,,,7,33,22.541,4.47E-56,7,9,8,4609200,6288600,5447100,6985900,6358300,8184700,0.196296,0.204892,0.0653181,0.332754,0.0519979,0.127105,0.25689,0.129785,3,P61026,P61026,Ras-related protein Rab-10,RAB10,1,,,,,,,cell part,membrane,plasma membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.027175,0.181166,0.105008,,,,5,32.8,21.656,5.67E-17,6,4,5,1710100,1889000,1517900,1991300,1730700,2292400,0.0863329,0.105008,0.105419,1.22107,0.0761587,-0.027175,0.181166,0.208341,3,P01116;P01116-2,P01116;P01116-2,"GTPase KRas;GTPase KRas, N-terminally processed",KRAS,2,,,,,,,cell part,membrane,plasma membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0363276,0.297602,-0.247132,,,,5,25.1,23.584,9.13E-33,3,2,2,1201000,1219700,458350,599480,1068800,1187100,0.0289328,0.0363276,0.272442,9.41639,0.261275,-0.247132,0.297602,0.544734,3,Q92930;H0YNE9;F5GY21;H0YMN7;P59190;P59190-2;H0YL94;H0YLJ8,Q92930;H0YNE9;F5GY21;H0YMN7,Ras-related protein Rab-8B,RAB8B,8,,,,,,,cell part,membrane,plasma membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.182426,0.075738,-0.0226248,,,,12,63.3,23.48,1.03E-247,16,28,25,23695000,21582000,28855000,30636000,22581000,22471000,-0.0431042,-0.0226248,0.130295,-3.02278,0.0983628,-0.182426,0.075738,0.258164,3,P10301,P10301,Ras-related protein R-Ras,RRAS,1,,,,55,,,cell part,membrane,plasma membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.125305,-0.231075,-0.049651,,,,30,62.3,51.901,0,84,99,126,117860000,148970000,126320000,161360000,103140000,132580000,-0.135344,-0.125305,0.0911274,-0.673304,0.0756543,-0.231075,-0.049651,0.181424,3,Q01518;Q5T0R1;Q5T0R2;Q5T0R3;Q5T0R4;Q5T0R5;Q5T0R6;Q5T0R7;Q5T0S3;Q5T0R8;B7Z214,Q01518,Adenylyl cyclase-associated protein 1,CAP1,11,,,,865;866;867;868,149;150;321,,cell part,membrane,plasma membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.466217,-0.231193,-0.399654,,,,4,23.8,19.73,6.12E-15,2,3,3,996190,818390,1608900,1475200,1846500,1367600,-0.365688,-0.399654,0.121138,-0.33126,0.0665632,-0.466217,-0.231193,0.235024,3,Q9UMY4;Q9UMY4-2;F8W8K5,Q9UMY4;Q9UMY4-2;F8W8K5,Sorting nexin-12,SNX12,3,,,,,,,cell part,membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.400149,NaN,-0.381423,,,,2,20.7,20.925,9.65E-14,2,1,2,3354900,3266800,4044000,3765700,5211600,4964700,-0.390786,-0.390786,0.0132412,-0.0338836,0.00936297,-0.400149,-0.381423,0.0187259,2,O60888-2;O60888;O60888-3;C9IZG4,O60888-2;O60888;O60888-3;C9IZG4,Protein CutA,CUTA,4,,,,,,,cell part,membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.06395,-0.662072,-0.52745,,,,3,16.5,26.659,3.22E-24,6,8,6,4254600,2112800,4548100,2444800,3404000,2349300,-0.751158,-0.662072,0.279125,-0.371593,0.134622,-1.06395,-0.52745,0.536502,3,Q9ULC3,Q9ULC3,Ras-related protein Rab-23,RAB23,1,,,,,,,cell part,membrane,plasma membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0360229,0.0126402,NaN,,,,2,10,30.124,1.46E-06,2,2,1,516710,478890,512280,669650,296620,391740,-0.0116913,-0.0116913,0.03441,-2.94321,0.0243315,-0.0360229,0.0126402,0.0486631,2,Q96GG9;C9JVE2;C9J8R4;C9JUW4;C9J0B2;C9JRU6;Q6PH85;H7C216;Q6PH85-2;C9JAV2;C9JRE2,Q96GG9;C9JVE2;C9J8R4;C9JUW4;C9J0B2;C9JRU6;Q6PH85;H7C216;Q6PH85-2;C9JAV2;C9JRE2,DCN1-like protein 1;DCN1-like protein 2,DCUN1D1;DCUN1D2,11,,,,,,,cell part,intracellular part,macromolecular complex,protein complex,ubiquitin ligase complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00411,NaN,1.6378,,,,3,7.5,88.549,4.19E-24,2,0,3,191480,613240,0,0,457980,2310900,1.32095,1.32095,0.448086,0.339215,0.316845,1.00411,1.6378,0.63369,2,Q13263;Q13263-2,Q13263;Q13263-2,Transcription intermediary factor 1-beta,TRIM28,2,,,,,,,cell part,intracellular organelle part,intracellular part,nuclear part,nucleoplasm,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.916171,1.13626,0.861638,,,,5,11.9,54.231,1.16E-12,4,5,6,1621900,4483800,1557300,4172900,1762800,3766800,0.971355,0.916171,0.145389,0.149676,0.054533,0.861638,1.13626,0.274619,3,Q15233;Q15233-2;H7C367;C9JYS8;C9IZL7,Q15233;Q15233-2;H7C367;C9JYS8;C9IZL7,Non-POU domain-containing octamer-binding protein,NONO,5,,,,,,,cell part,intracellular organelle part,intracellular part,nuclear body,nuclear matrix,nuclear part,nucleoplasm part,organelle part,paraspeckles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.500598,0.990229,0.764856,,,,15,24,69.948,3.02E-62,13,9,11,5586200,7336600,2052700,5506400,3535200,6924200,0.751894,0.764856,0.245073,0.32594,0.225373,0.500598,0.990229,0.489631,3,J9JID7;Q03252,J9JID7;Q03252,Lamin-B2,LMNB2,2,,,,,,,cell part,intracellular organelle part,intracellular part,membrane,nuclear inner membrane,nuclear membrane,nuclear part,organelle inner membrane,organelle membrane,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.402176,0.613343,0.546166,,,,7,36.6,19.329,5.24E-24,7,11,11,4377600,6742700,4229900,6726700,4978200,7796200,0.520562,0.546166,0.107887,0.20725,0.0671772,0.402176,0.613343,0.211167,3,P84103;B4E241,P84103;B4E241,Serine/arginine-rich splicing factor 3,SRSF3,2,,,,,,,cell part,intracellular organelle part,intracellular part,nuclear part,nucleoplasm,organelle part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.250972,-0.0740158,-0.00105352,,,,19,83.9,22.391,0,68,61,63,119580000,126150000,96156000,125690000,120930000,159090000,-0.10868,-0.0740158,0.128515,-1.1825,0.0729623,-0.250972,-0.00105352,0.249919,3,P37802,P37802,Transgelin-2,TAGLN2,1,,,,692;693;694;695;696;697;698,,,cell part,intracellular organelle part,intracellular part,membrane,nuclear membrane,nuclear part,organelle membrane,organelle part,plasma membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.185486,-0.813449,-0.55599,+,,,2,17.6,19.96,0.00055006,3,5,6,1434400,1175000,4101500,2518500,4783700,3145200,-0.394651,-0.55599,0.518643,-1.31418,0.257459,-0.813449,0.185486,0.998935,3,J3KSL1;F5GY88;O75448;F5H5K2;J3KSU0;F5H3E6,J3KSL1;F5GY88;O75448;F5H5K2;J3KSU0;F5H3E6,Mediator of RNA polymerase II transcription subunit 24,MED24,6,,,39,,,,cell part,intracellular organelle part,intracellular part,macromolecular complex,mediator complex,nuclear part,nucleoplasm part,organelle part,protein complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,1.24464,1.28149,,,,2,18.9,14.395,1.97E-07,0,2,2,0,0,1025000,1807800,601480,1892000,1.26307,1.26307,0.0260548,0.0206282,0.0184235,1.24464,1.28149,0.036847,2,P53999,P53999,Activated RNA polymerase II transcriptional coactivator p15,SUB1,1,,,,,,,cell part,intracellular non-membrane-bounded organelle,intracellular organelle,intracellular organelle part,intracellular part,macromolecular complex,non-membrane-bounded organelle,nuclear part,nucleolus,nucleoplasm part,organelle,organelle part,protein complex,transcription factor complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.497536,0.89724,0.768587,,,,3,11.8,33.665,5.22E-06,3,3,3,683510,980790,1368600,2722700,635340,1193700,0.721121,0.768587,0.204036,0.282943,0.128654,0.497536,0.89724,0.399705,3,P62995;P62995-3;H7BXF3;H7C2L4,P62995;P62995-3;H7BXF3;H7C2L4,Transformer-2 protein homolog beta,TRA2B,4,,,,,,,cell part,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,membrane-bounded organelle,nucleus,organelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.464564,0.581014,0.680504,,,,13,38.4,50.745,2.56E-114,13,17,13,12066000,20523000,8265600,16398000,11158000,21588000,0.575361,0.581014,0.108081,0.18785,0.0994906,0.464564,0.680504,0.215941,3,F8VQ10;Q13838-2;Q13838;Q5STU3;H0Y7G4;F8VZL8;F6WLT2;B4DP52;H0Y7X6;O00148;F6TRA5;F6UN21;F6S4E6;H0Y557;Q8N5M0;E9PP12;F6UJC5;F6R6M7;F6QYI9;F6V772;H0Y800;B1Q2N1;K7EQN7;B4DIJ6;H0Y6G9;H0Y4V8;H0Y6N8;K7EPJ3;H0Y400;F8W0J0;H0YCC6;E7EMX2;F6SXL5;F6S2B7;K7EN69;F6U6E2;H0Y6Y9;F6QWI5;H0Y6J9;K7EN25;K7EIL8;K7EL56;K7ENP6,F8VQ10;Q13838-2;Q13838;Q5STU3;H0Y7G4;F8VZL8;F6WLT2;B4DP52;H0Y7X6;O00148;F6TRA5;F6UN21;F6S4E6;H0Y557,Spliceosome RNA helicase DDX39B;ATP-dependent RNA helicase DDX39A,DDX39B;BAT1;DDX39A,43,,,,,,,cell part,intracellular membrane-bounded organelle,intracellular organelle,intracellular organelle part,intracellular part,macromolecular complex,membrane-bounded organelle,nuclear body,nuclear part,nuclear speck,nucleoplasm part,nucleus,organelle,organelle part,protein complex,ribonucleoprotein complex,spliceosomal complex,transcription export complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0213211,1.01984,0.557778,,,,7,48.2,20.954,2.04E-68,7,12,8,7852700,9529600,4799000,10075000,5783800,9755500,0.518767,0.557778,0.521678,1.00561,0.462066,-0.0213211,1.01984,1.04117,3,Q16527;F8VQR7;F8VW96,Q16527;F8VQR7;F8VW96,Cysteine and glycine-rich protein 2,CSRP2,3,,,,171,,,cell part,intracellular membrane-bounded organelle,intracellular organelle,intracellular part,membrane-bounded organelle,nucleus,organelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
